analyst,position,bias,volatility,sample_size
Adam Rank,DST,1.793,3.015,153
Adam Rank,QB,5.393,9.608,169
Adam Rank,RB,4.666,8.505,226
Adam Rank,TE,3.903,7.289,171
Adam Rank,WR,6.832,9.065,228
Andy Behrens,DST,1.745,2.954,152
Andy Behrens,QB,5.348,9.055,169
Andy Behrens,RB,4.973,9.492,226
Andy Behrens,TE,3.842,6.728,171
Andy Behrens,WR,6.844,9.081,228
Dave Richard,DST,1.72,2.85,152
Dave Richard,QB,5.255,9.764,169
Dave Richard,RB,4.832,8.929,226
Dave Richard,TE,3.816,7.307,171
Dave Richard,WR,6.681,9.08,228
Heath Cummings,DST,1.81,3.013,154
Heath Cummings,QB,5.309,9.189,169
Heath Cummings,RB,5.228,9.551,226
Heath Cummings,TE,3.785,6.786,171
Heath Cummings,WR,6.978,9.442,228
Jake Ciely,DST,1.771,2.852,153
Jake Ciely,QB,5.083,9.491,169
Jake Ciely,RB,4.943,9.055,226
Jake Ciely,TE,3.945,6.977,171
Jake Ciely,WR,7.01,9.119,228
Jamey Eisenberg,DST,1.837,3.181,153
Jamey Eisenberg,QB,5.268,9.528,169
Jamey Eisenberg,RB,4.848,9.264,226
Jamey Eisenberg,TE,3.964,6.754,171
Jamey Eisenberg,WR,6.833,9.144,228
Justin Boone,DST,1.851,3.121,153
Justin Boone,QB,5.272,9.591,169
Justin Boone,RB,4.863,8.637,226
Justin Boone,TE,3.671,6.945,171
Justin Boone,WR,6.892,9.387,228
Michael Fabiano,DST,1.838,3.203,153
Michael Fabiano,QB,5.267,9.951,169
Michael Fabiano,RB,5.05,8.933,226
Michael Fabiano,TE,3.734,6.858,171
Michael Fabiano,WR,6.821,9.281,228
Sal Vetri,DST,1.789,2.968,152
Sal Vetri,QB,5.488,10.159,169
Sal Vetri,RB,4.894,9.512,226
Sal Vetri,TE,3.86,7.0,171
Sal Vetri,WR,7.071,9.385,228
Scott Pianowski,DST,1.827,2.905,152
Scott Pianowski,QB,5.283,9.519,169
Scott Pianowski,RB,4.838,9.548,226
Scott Pianowski,TE,3.649,7.158,171
Scott Pianowski,WR,6.981,9.619,228
