analyst,team,bias,sample_size
Adam Rank,ARI,4.967,17
Adam Rank,ATL,2.905,34
Adam Rank,BAL,1.909,63
Adam Rank,BUF,3.249,32
Adam Rank,CHI,8.24,29
Adam Rank,CIN,2.562,46
Adam Rank,CLE,2.154,11
Adam Rank,DAL,8.445,37
Adam Rank,DET,4.07,47
Adam Rank,GB,4.816,32
Adam Rank,HOU,4.99,8
Adam Rank,IND,8.654,41
Adam Rank,JAX,9.444,24
Adam Rank,KC,3.944,16
Adam Rank,LA,4.396,27
Adam Rank,LAC,6.889,17
Adam Rank,LV,1.272,17
Adam Rank,MIA,8.647,28
Adam Rank,MIN,5.369,34
Adam Rank,NE,7.272,15
Adam Rank,NO,6.83,20
Adam Rank,NYJ,6.555,47
Adam Rank,PHI,3.143,53
Adam Rank,PIT,6.898,34
Adam Rank,SEA,8.184,15
Adam Rank,SF,4.302,34
Adam Rank,TEN,9.661,16
Andy Behrens,ARI,5.083,17
Andy Behrens,ATL,3.598,34
Andy Behrens,BAL,1.632,63
Andy Behrens,BUF,1.174,32
Andy Behrens,CHI,8.699,29
Andy Behrens,CIN,1.86,46
Andy Behrens,CLE,3.36,11
Andy Behrens,DAL,7.468,37
Andy Behrens,DET,7.276,47
Andy Behrens,GB,5.088,32
Andy Behrens,HOU,7.407,8
Andy Behrens,IND,7.284,41
Andy Behrens,JAX,11.252,24
Andy Behrens,KC,3.461,16
Andy Behrens,LA,4.296,27
Andy Behrens,LAC,7.5,17
Andy Behrens,LV,-0.502,17
Andy Behrens,MIA,8.804,28
Andy Behrens,MIN,3.636,34
Andy Behrens,NE,9.644,15
Andy Behrens,NO,8.664,20
Andy Behrens,NYJ,6.776,47
Andy Behrens,PHI,4.44,53
Andy Behrens,PIT,6.422,34
Andy Behrens,SEA,8.337,15
Andy Behrens,SF,3.796,34
Andy Behrens,TEN,6.729,16
Dave Richard,ARI,6.659,17
Dave Richard,ATL,3.283,34
Dave Richard,BAL,1.612,63
Dave Richard,BUF,1.1,32
Dave Richard,CHI,7.421,29
Dave Richard,CIN,2.144,46
Dave Richard,CLE,3.334,11
Dave Richard,DAL,7.902,37
Dave Richard,DET,5.881,47
Dave Richard,GB,6.58,32
Dave Richard,HOU,10.896,8
Dave Richard,IND,6.353,41
Dave Richard,JAX,10.923,24
Dave Richard,KC,3.071,16
Dave Richard,LA,6.043,27
Dave Richard,LAC,7.284,17
Dave Richard,LV,1.556,17
Dave Richard,MIA,7.97,28
Dave Richard,MIN,6.77,34
Dave Richard,NE,8.448,15
Dave Richard,NO,6.591,20
Dave Richard,NYJ,6.65,47
Dave Richard,PHI,2.107,53
Dave Richard,PIT,6.638,34
Dave Richard,SEA,8.941,15
Dave Richard,SF,3.024,34
Dave Richard,TEN,5.84,16
Heath Cummings,ARI,6.316,17
Heath Cummings,ATL,3.518,34
Heath Cummings,BAL,1.755,63
Heath Cummings,BUF,2.63,32
Heath Cummings,CHI,7.311,29
Heath Cummings,CIN,1.814,46
Heath Cummings,CLE,0.989,11
Heath Cummings,DAL,7.241,37
Heath Cummings,DET,4.375,47
Heath Cummings,GB,6.449,32
Heath Cummings,HOU,4.983,8
Heath Cummings,IND,8.858,41
Heath Cummings,JAX,12.553,24
Heath Cummings,KC,3.98,16
Heath Cummings,LA,3.656,27
Heath Cummings,LAC,6.49,17
Heath Cummings,LV,1.513,17
Heath Cummings,MIA,7.982,28
Heath Cummings,MIN,6.375,34
Heath Cummings,NE,9.675,15
Heath Cummings,NO,6.261,20
Heath Cummings,NYJ,7.839,47
Heath Cummings,PHI,4.461,53
Heath Cummings,PIT,6.164,34
Heath Cummings,SEA,9.637,15
Heath Cummings,SF,3.029,34
Heath Cummings,TEN,8.351,16
Jake Ciely,ARI,6.567,17
Jake Ciely,ATL,3.692,34
Jake Ciely,BAL,2.009,63
Jake Ciely,BUF,1.19,32
Jake Ciely,CHI,8.478,29
Jake Ciely,CIN,1.513,46
Jake Ciely,CLE,2.189,11
Jake Ciely,DAL,6.891,37
Jake Ciely,DET,4.383,47
Jake Ciely,GB,5.827,32
Jake Ciely,HOU,9.074,8
